Subsector,Appalachia,Plastics and Rubber Products Manufacturing,Primary Metal Manufacturing,Fabricated Metal Product Manufacturing,Machinery Manufacturing,"Electrical Equipment, Appliance and Component Manufacturing",,,,State
Seneca,No,210,42,17,93,0,361,,361.1869255,OH
Shelby,No,213,85,52,263,31,644,,643.7280619,OH
Stark,No,307,685,201,260,43,"1,495",,1494.94644,OH
Summit,No,"1,103",252,227,330,75,"1,987",,1986.582989,OH
Union,No,90,121,10,49,70,341,,340.618345,OH
Van,No,3,0,49,41,0,92,,92.41951853,OH
Warren,No,112,77,68,194,11,462,,462.3605786,OH
Wayne,No,140,117,88,101,0,447,,446.7181271,OH
Williams,No,352,75,58,95,36,617,,617.0902282,OH
Wood,No,452,101,51,113,16,733,,732.5586967,OH
Wyandot,No,384,0,9,0,0,393,,392.9833656,OH
Allegheny,Yes,161,766,348,226,344,"1,845",,1844.985802,PA
Armstrong,Yes,28,0,30,20,8,86,,86.0704789,PA
Beaver,Yes,175,164,87,10,57,494,,493.7891448,PA
Bedford,Yes,71,0,52,66,10,199,,198.918301,PA
Blair,Yes,24,53,28,22,9,137,,137.3339766,PA
Bradford,Yes,107,1,26,5,0,139,,138.6930537,PA
Butler,Yes,93,232,152,83,11,572,,571.789277,PA
Cambria,Yes,0,74,64,21,0,159,,158.9319098,PA
Cameron,Yes,0,9,42,4,0,55,,54.54032686,PA
Carbon,Yes,4,44,11,5,0,63,,63.27488316,PA
Centre,Yes,40,1,52,18,0,110,,110.1519714,PA
Clarion,Yes,1,0,6,0,1,7,,7.173881647,PA
Clearfield,Yes,23,18,48,29,0,119,,119.3612475,PA
Clinton,Yes,48,3,4,4,0,58,,58.13399385,PA
Columbia,Yes,86,47,65,20,0,218,,218.0398275,PA
Crawford,Yes,184,77,167,101,8,538,,537.5987442,PA
Elk,Yes,0,8,246,24,154,432,,432.1703477,PA
Erie,Yes,712,127,326,136,48,"1,349",,1349.373042,PA
Fayette,Yes,17,20,75,9,3,125,,124.8245918,PA
Forest,Yes,0,0,0,6,0,6,,5.966213006,PA
Fulton,Yes,0,0,14,38,0,53,,52.57721795,PA
Greene,Yes,26,0,7,4,0,36,,36.06398005,PA
Huntingdon,Yes,0,0,27,6,0,33,,33.0242634,PA
Indiana,Yes,73,1,47,20,0,141,,141.1649687,PA
Jefferson,Yes,35,0,108,48,0,191,,191.1270441,PA
Juniata,Yes,3,0,6,0,0,9,,8.530753652,PA
Lackawanna,Yes,179,28,157,10,181,555,,555.3533196,PA
Lawrence,Yes,33,66,97,18,10,224,,223.6215641,PA
Luzerne,Yes,647,58,242,24,36,"1,006",,1005.861789,PA
Lycoming,Yes,262,85,73,37,0,456,,456.2569834,PA
McKean,Yes,0,0,73,7,49,129,,129.4154232,PA
Mercer,Yes,34,263,154,54,16,521,,520.9864973,PA
Mifflin,Yes,104,25,28,9,70,235,,235.0650402,PA
Monroe,Yes,28,42,23,4,12,108,,108.3340694,PA
Montour,Yes,0,0,2,12,0,14,,13.91594055,PA
Northumberland,Yes,120,8,43,10,8,189,,189.0934855,PA
Perry,Yes,0,0,5,1,0,7,,6.713818389,PA
Pike,Yes,0,0,4,0,16,20,,20.21033444,PA
Potter,Yes,0,0,0,8,28,36,,36.00306637,PA
Schuylkill,Yes,303,235,91,20,85,735,,734.949062,PA
Snyder,Yes,6,0,4,0,0,11,,10.83287147,PA
Somerset,Yes,32,43,51,13,0,138,,138.163361,PA
Sullivan,Yes,0,0,0,0,0,0,,0.374988781,PA
Susquehanna,Yes,0,3,8,6,3,20,,20.45885263,PA
Tioga,Yes,97,23,49,8,0,177,,176.7729897,PA
Union,Yes,0,0,5,17,0,22,,21.63335405,PA
Venango,Yes,11,120,42,32,27,232,,231.69139,PA
Warren,Yes,120,1,57,1,109,288,,288.445222,PA
Washington,Yes,85,250,135,56,169,695,,695.0705017,PA
Wayne,Yes,0,3,9,7,0,19,,19.21154715,PA
Westmoreland,Yes,371,342,269,201,197,"1,381",,1380.57699,PA
Wyoming,Yes,0,29,6,10,0,45,,44.67922657,PA
Adams,No,164,15,87,8,0,275,,275.4555081,PA
Berks,No,344,622,180,51,"1,244","2,442",,2441.723266,PA
Bucks,No,357,60,353,169,108,"1,047",,1046.658251,PA
Chester,No,111,178,149,80,95,614,,613.6258302,PA
Cumberland,No,198,75,67,40,36,416,,416.3322203,PA
Dauphin,No,353,161,65,49,104,733,,732.6350236,PA
Delaware,No,117,27,148,30,24,347,,347.2378773,PA
Franklin,No,37,34,86,177,8,342,,342.074326,PA
Lancaster,No,645,430,437,181,107,"1,800",,1799.792288,PA
Lebanon,No,46,71,79,16,33,244,,244.2076452,PA
Lehigh,No,242,50,120,82,249,743,,743.0269168,PA
Montgomery,No,211,191,434,134,139,"1,110",,1109.559658,PA
Northampton,No,214,230,128,101,76,749,,749.0730471,PA
